"schid","stuid","ses","meanses","homework","white","parented","public","ratio","percmin","math","sex","race","sctype","cstr","scsize","urban","region","schnum"
7472,3,-0.129999995231628,-0.482608705759048,1,1,2,1,19,0,48,2,4,1,2,3,2,2,1
7472,8,-0.389999985694885,-0.482608705759048,0,1,2,1,19,0,48,1,4,1,2,3,2,2,1
7472,13,-0.800000011920929,-0.482608705759048,0,1,2,1,19,0,53,1,4,1,2,3,2,2,1
7472,17,-0.720000028610229,-0.482608705759048,1,1,2,1,19,0,42,1,4,1,2,3,2,2,1
7472,27,-0.740000009536743,-0.482608705759048,2,1,2,1,19,0,43,2,4,1,2,3,2,2,1
7472,28,-0.579999983310699,-0.482608705759048,1,1,2,1,19,0,57,2,4,1,2,3,2,2,1
7472,30,-0.829999983310699,-0.482608705759048,5,1,2,1,19,0,33,2,4,1,2,3,2,2,1
7472,36,-0.509999990463257,-0.482608705759048,1,1,3,1,19,0,64,1,4,1,2,3,2,2,1
7472,37,-0.560000002384186,-0.482608705759048,1,1,2,1,19,0,36,2,4,1,2,3,2,2,1
7472,42,0.209999993443489,-0.482608705759048,2,1,3,1,19,0,56,2,4,1,2,3,2,2,1
7472,52,-0.699999988079071,-0.482608705759048,1,1,2,1,19,0,48,2,4,1,2,3,2,2,1
7472,53,-0.189999997615814,-0.482608705759048,1,1,3,1,19,0,48,1,4,1,2,3,2,2,1
7472,61,-1.3400000333786,-0.482608705759048,1,1,2,1,19,0,44,1,4,1,2,3,2,2,1
7472,64,-1.58000004291534,-0.482608705759048,2,1,1,1,19,0,35,2,4,1,2,3,2,2,1
7472,72,-0.0500000007450581,-0.482608705759048,1,1,2,1,19,0,50,2,4,1,2,3,2,2,1
7472,83,-0.5,-0.482608705759048,4,1,3,1,19,0,36,2,4,1,2,3,2,2,1
7472,84,-0.259999990463257,-0.482608705759048,1,1,3,1,19,0,47,2,4,1,2,3,2,2,1
7472,85,-0.939999997615814,-0.482608705759048,2,1,1,1,19,0,41,2,4,1,2,3,2,2,1
